日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/03/31,"1,985,053","16,415,102",8.32,8.32,8.24,8.25,-0.07,318
114/03/28,"2,890,056","24,074,706",8.36,8.36,8.31,8.32,-0.14,388
114/03/27,"710,002","6,005,188",8.48,8.48,8.44,8.46,-0.05,129
114/03/26,"801,376","6,810,054",8.49,8.52,8.47,8.51,+0.02,78
114/03/25,"1,064,115","9,055,648",8.50,8.53,8.49,8.49,-0.01,125
114/03/24,"1,331,287","11,316,363",8.50,8.51,8.49,8.50,+0.03,155
114/03/21,"2,039,519","17,235,421",8.41,8.47,8.41,8.47,+0.06,146
114/03/20,"945,359","7,937,652",8.40,8.41,8.38,8.41,-0.02,184
114/03/19,"3,323,714","28,078,222",8.45,8.47,8.43,8.43,-0.10,351
114/03/18,"1,500,349","12,782,940",8.54,8.55,8.50,8.53,-0.06,311
114/03/17,"453,874","3,892,076",8.56,8.59,8.56,8.59,+0.01,68
114/03/14,"2,128,130","18,221,096",8.57,8.58,8.55,8.58,-0.12,394
114/03/13,"1,345,650","11,711,813",8.71,8.72,8.69,8.70,-0.10,264
114/03/12,"1,440,952","12,652,565",8.80,8.80,8.77,8.80,-0.05,145
114/03/11,"1,390,339","12,323,504",8.87,8.89,8.84,8.85,+0.04,190
114/03/10,"321,130","2,823,150",8.78,8.81,8.77,8.81,+0.02,82
114/03/07,"744,181","6,553,830",8.80,8.82,8.79,8.79,+0.01,105
114/03/06,"1,068,511","9,356,321",8.78,8.78,8.74,8.78,-0.01,152
114/03/05,"1,754,582","15,418,031",8.78,8.81,8.78,8.79,-0.06,216
114/03/04,"2,555,566","22,634,821",8.87,8.89,8.84,8.85,-0.08,210
114/03/03,"2,461,242","21,961,553",8.93,8.94,8.90,8.93,+0.08,345
