日期,成交股數,成交金額,成交最高,成交最低,成交均價,成交筆數,開盤價,最高價,最低價,收盤價,漲跌價差
114/05/20,"17,122","237,865",,,,38,14.35,14.35,13.70,13.80,-0.60
114/05/19,"1,897","27,156",,,,23,14.40,14.40,14.40,14.40,-0.45
114/05/16,"15,027","221,522",,,,32,14.45,14.95,14.45,14.85,+0.40
114/05/15,"65,406","964,605",,,,87,15.80,15.80,14.40,14.45,-1.50
114/05/14,"11,104","179,097",,,,24,15.95,16.50,15.95,15.95,-0.05
114/05/13,"14,187","224,272",,,,24,15.90,16.10,15.25,16.00, 0.00
114/05/12,"27,709","436,584",,,,40,14.35,16.35,14.35,16.00,+1.05
114/05/09,"6,115","91,375",,,,14,14.95,14.95,14.95,14.95, 0.00
114/05/08,"14,504","215,419",,,,21,14.80,14.95,14.75,14.95,+0.20
114/05/07,"17,976","269,799",,,,34,15.05,15.15,14.75,14.75,-1.05
114/05/06,"8,403","130,538",,,,14,15.20,15.80,15.20,15.80,-0.10
114/05/05,"16,423","256,626",,,,23,16.00,16.00,15.25,15.90,X0.00
114/04/16,3090,52608,17.5,16.1,17.03,38,,,,,
114/04/15,11909,196457,16.95,16.35,16.5,57,,,,,
114/04/14,11729,196127,17.45,16.2,16.72,42,,,,,
114/04/11,5325,85320,16.2,15.25,16.02,34,,,,,
114/04/10,33045,497609,15.25,14.95,15.06,55,,,,,
114/04/09,13221,187571,14.6,13.9,14.19,57,,,,,
114/04/08,50038,783134,15.9,15.4,15.65,71,,,,,
114/04/07,31331,538363,17.55,17.1,17.18,65,,,,,
114/04/02,4054,75088,19.0,18.25,18.52,32,,,,,
114/04/01,3585,65642,18.4,18.2,18.31,38,,,,,
114/03/31,4743,86821,18.85,18.1,18.31,77,,,,,
114/03/28,5325,96990,18.35,18.1,18.21,62,,,,,
114/03/27,5671,107112,19.1,18.6,18.89,80,,,,,
114/03/26,21505,416876,19.5,19.1,19.39,74,,,,,
114/03/25,6085,117288,19.5,19.4,19.27,97,,,,,
114/03/24,7138,142029,19.9,19.9,19.9,102,,,,,
114/03/21,10903,222749,20.8,20.1,20.43,89,,,,,
114/03/20,11480,235037,21.0,20.05,20.47,104,,,,,
114/03/19,94576,1943501,21.6,20.0,20.55,151,,,,,
114/03/18,9114,180751,20.0,19.75,19.83,130,,,,,
114/03/17,21770,427517,19.85,19.5,19.64,129,,,,,
114/03/14,40840,789710,19.5,19.15,19.34,110,,,,,
114/03/13,40309,792235,20.5,19.35,19.65,170,,,,,
114/03/12,10381,213664,20.9,20.65,20.58,78,,,,,
114/03/11,47604,968287,20.8,19.6,20.34,134,,,,,
114/03/10,41360,827058,20.5,19.45,20.0,181,,,,,
114/03/07,46965,927124,20.25,19.2,19.74,151,,,,,
114/03/06,7592,149474,19.85,19.65,19.69,90,,,,,
114/03/05,12355,240588,20.25,19.05,19.47,101,,,,,
114/03/04,43812,868183,20.05,19.65,19.82,159,,,,,
114/03/03,33450,644249,19.4,18.9,19.26,174,,,,,
