日期,成交股數,成交金額,成交最高,成交最低,成交均價,成交筆數,開盤價,最高價,最低價,收盤價,漲跌價差
114/06/02,"191,945","20,476,124",,,,255,109.50,109.50,105.50,105.50,-5.00
114/05/29,70617,7803266,112.0,109.5,110.5,121,,,,,
114/05/28,92927,10282570,112.0,109.5,110.65,126,,,,,
114/05/27,225172,24833059,113.0,109.0,110.28,303,,,,,
114/05/26,170102,19056495,114.0,111.0,112.03,196,,,,,
114/05/23,163540,18449097,113.5,112.0,112.81,203,,,,,
114/05/22,189331,21416673,114.5,112.0,113.12,306,,,,,
114/05/21,265495,30685835,117.0,114.0,115.58,435,,,,,
114/05/20,188112,21387241,115.5,112.5,113.69,218,,,,,
114/05/19,299676,34074530,117.0,111.5,113.7,505,,,,,
114/05/16,219197,25525572,117.0,115.5,116.45,240,,,,,
114/05/15,427805,49654756,119.0,114.5,116.07,383,,,,,
114/05/14,275969,32152223,117.0,115.5,116.51,488,,,,,
114/05/13,505927,59595504,120.5,115.0,117.79,496,,,,,
114/05/12,198869,22901321,116.5,114.0,115.16,214,,,,,
114/05/09,221937,25306139,116.0,112.5,114.02,245,,,,,
114/05/08,332871,38446406,116.5,114.5,115.5,388,,,,,
114/05/07,532440,60405624,115.0,112.0,113.45,520,,,,,
114/05/06,464388,52375560,115.0,109.5,112.78,456,,,,,
114/05/05,672434,75323159,119.0,108.5,112.02,965,,,,,
114/05/02,406972,47936130,119.5,117.0,117.79,408,,,,,
114/04/30,859570,101301333,120.5,115.5,117.85,889,,,,,
114/04/29,3058388,369169507,124.0,115.0,120.71,2586,,,,,
114/04/28,2306416,276656808,126.0,116.0,119.95,2032,,,,,
114/04/25,480486,56946561,119.5,116.0,118.52,397,,,,,
114/04/24,450846,48703565,109.0,106.0,108.03,456,,,,,
114/04/23,348721,36390586,106.0,102.5,104.35,357,,,,,
114/04/22,490954,49169249,102.5,99.0,100.15,492,,,,,
114/04/21,618684,63327365,107.5,100.0,102.36,576,,,,,
114/04/18,609438,65701671,110.0,106.0,107.81,570,,,,,
114/04/17,536122,57583232,110.5,105.5,107.41,540,,,,,
114/04/16,1663544,185889153,115.0,108.5,111.74,1392,,,,,
114/04/15,884654,95939490,111.5,103.5,108.45,1017,,,,,
114/04/14,1471793,152172733,108.5,100.0,103.39,1241,,,,,
114/04/11,845974,84557198,103.0,95.9,99.95,777,,,,,
114/04/10,192935,20547567,106.5,106.5,106.5,175,,,,,
114/04/09,580755,57250752,102.5,97.2,98.58,567,,,,,
114/04/08,476560,51670957,111.5,108.0,108.42,634,,,,,
114/04/07,26698,3190403,119.5,119.5,119.5,67,,,,,
114/04/02,681110,91272969,138.0,128.5,134.01,649,,,,,
114/04/01,514054,66616934,132.5,125.5,129.59,544,,,,,
114/03/31,683426,88423018,134.0,126.5,129.38,716,,,,,
114/03/28,460488,62980319,141.0,134.0,136.77,618,,,,,
114/03/27,247278,34908268,143.0,140.0,141.17,578,,,,,
114/03/26,284433,41043806,147.0,142.0,144.3,405,,,,,
114/03/25,487377,71412245,148.5,145.0,146.52,592,,,,,
114/03/24,1434625,209038618,152.0,140.5,145.71,1708,,,,,
114/03/21,1321608,199546061,153.0,147.0,150.99,2490,,,,,
114/03/20,2482967,370793561,153.5,143.0,149.33,2427,,,,,
114/03/19,1171814,169228250,148.5,141.0,144.42,1474,,,,,
114/03/18,245589,34944864,144.5,141.0,142.29,231,,,,,
114/03/17,293172,41779546,143.5,141.0,142.51,363,,,,,
114/03/14,277852,38602776,140.5,137.0,138.93,738,,,,,
114/03/13,401618,56845048,145.5,138.5,141.54,970,,,,,
114/03/12,801915,116139156,148.0,141.0,144.83,1627,,,,,
114/03/11,792627,110737092,143.5,134.0,139.71,1515,,,,,
114/03/10,1424024,205353600,148.5,139.5,144.21,2284,,,,,
114/03/07,912036,128942619,144.5,137.5,141.38,1267,,,,,
114/03/06,720968,101688477,145.5,138.0,141.04,819,,,,,
114/03/05,439287,60642457,141.0,131.5,138.05,623,,,,,
114/03/04,228058,29720769,133.5,127.5,130.32,296,,,,,
114/03/03,189812,25148451,135.5,131.5,132.49,490,,,,,
