日 期,成交張數,成交仟元,開盤,最高,最低,收盤,漲跌,筆數
114/04/28,219,"7,182",33.0,33.0,32.65,32.85,0.35,242
114/04/25,408,"13,179",32.1,32.5,32.1,32.5,0.7,365
114/04/25,408,"13,179",32.1,32.5,32.1,32.5,0.7,365
114/04/24,168,"5,351",32.1,32.15,31.75,31.8,-0.15,218
114/04/24,168,"5,351",32.1,32.15,31.75,31.8,-0.15,218
114/04/23,157,"5,006",31.7,32.05,31.7,31.95,0.6,221
114/04/23,157,"5,006",31.7,32.05,31.7,31.95,0.6,221
114/04/22,88,"2,738",31.0,31.45,31.0,31.35,0.05,116
114/04/22,88,"2,738",31.0,31.45,31.0,31.35,0.05,116
114/04/21,152,"4,782",31.7,31.7,31.25,31.3,-0.4,236
114/04/21,152,"4,782",31.7,31.7,31.25,31.3,-0.4,236
114/04/18,94,"2,971",31.65,31.8,31.65,31.7,0.15,128
114/04/18,94,"2,971",31.65,31.8,31.65,31.7,0.15,128
114/04/17,135,"4,250",31.55,31.75,31.3,31.55,-0.1,144
114/04/17,135,"4,250",31.55,31.75,31.3,31.55,-0.1,144
114/04/16,188,"5,977",32.0,32.15,31.65,31.65,-0.35,214
114/04/16,188,"5,977",32.0,32.15,31.65,31.65,-0.35,214
114/04/15,266,"8,467",31.75,32.2,31.7,32.0,0.5,253
114/04/15,266,"8,467",31.75,32.2,31.7,32.0,0.5,253
114/04/14,658,"20,923",31.85,32.3,31.5,31.5,-0.2,555
114/04/14,658,"20,923",31.85,32.3,31.5,31.5,-0.2,555
114/04/11,365,"11,327",30.75,31.8,30.0,31.7,-0.2,443
114/04/11,365,"11,327",30.75,31.8,30.0,31.7,-0.2,443
114/04/10,395,"12,590",31.9,31.9,31.55,31.9,2.9,313
114/04/10,395,"12,590",31.9,31.9,31.55,31.9,2.9,313
114/04/09,"1,233","36,529",29.75,30.95,29.0,29.0,-0.5,933
114/04/09,"1,233","36,529",29.75,30.95,29.0,29.0,-0.5,933
114/04/08,"1,000","29,073",28.35,29.9,28.3,29.5,-1.35,"1,038"
114/04/08,"1,000","29,073",28.35,29.9,28.3,29.5,-1.35,"1,038"
114/04/07,298,"9,195",30.85,30.85,30.85,30.85,-3.4,556
114/04/07,298,"9,195",30.85,30.85,30.85,30.85,-3.4,556
114/04/02,226,"7,764",34.65,34.65,34.1,34.25,0.05,271
114/04/02,226,"7,764",34.65,34.65,34.1,34.25,0.05,271
114/04/01,297,"10,131",33.95,34.45,33.95,34.2,0.4,337
114/04/01,297,"10,131",33.95,34.45,33.95,34.2,0.4,337
114/03/31,492,"16,716",34.25,34.25,33.6,33.8,-0.9,545
114/03/31,492,"16,716",34.25,34.25,33.6,33.8,-0.9,545
114/03/28,564,"19,466",35.0,35.0,34.1,34.7,-0.3,620
114/03/28,564,"19,466",35.0,35.0,34.1,34.7,-0.3,620
