股票代號,股票名稱,上市日,市場別,產業別,鉅亨網網址,價格,漲跌,漲跌幅度(%),資料來源
6997,博弘,2024/12/16,上櫃,數位雲端,https://www.cnyes.com/twstock/6997,109.00,+1.00,+0.93%,鉅亨
7402,邑錡,2015/12/29,上櫃,光電業,https://www.cnyes.com/twstock/7402,87.30,+2.70,+3.19%,鉅亨
7556,意德士,2020/10/30,上櫃,半導體業,https://www.cnyes.com/twstock/7556,175.00,-3.00,-1.69%,鉅亨
7584,樂意,2024/07/25,上櫃,文化創意業,https://www.cnyes.com/twstock/7584,57.00,+0.70,+1.24%,鉅亨
7642,昶瑞機電,2025/05/22,上櫃,電機機械,https://www.cnyes.com/twstock/7642,111.00,+10.00,+9.90%,鉅亨
7703,銳澤,2024/11/13,上櫃,其他電子業,https://www.cnyes.com/twstock/7703,163.00,+1.00,+0.62%,鉅亨
7704,明遠精密,2024/12/16,上櫃,半導體業,https://www.cnyes.com/twstock/7704,51.00,-0.60,-1.16%,鉅亨
7708,全家餐飲,2024/11/15,上櫃,觀光餐旅,https://www.cnyes.com/twstock/7708,98.20,-0.10,-0.10%,鉅亨
7709,榮田,2025/02/25,上櫃,電機機械,https://www.cnyes.com/twstock/7709,39.55,-0.20,-0.50%,鉅亨
7712,博盛半導體,2024/12/26,上櫃,半導體業,https://www.cnyes.com/twstock/7712,113.50,0.00,+0.00%,鉅亨
7713,威力德生醫,2025/02/24,上櫃,生技醫療業,https://www.cnyes.com/twstock/7713,64.00,-0.50,-0.78%,鉅亨
7714,創泓科技,2025/01/15,上櫃,數位雲端,https://www.cnyes.com/twstock/7714,97.70,-1.00,-1.01%,鉅亨
7715,裕山,2025/01/15,上櫃,綠能環保,https://www.cnyes.com/twstock/7715,39.95,-0.35,-0.87%,鉅亨
7718,友鋮,2025/03/18,上櫃,鋼鐵工業,https://www.cnyes.com/twstock/7718,45.20,0.00,+0.00%,鉅亨
7723,築間,2025/04/30,上櫃,觀光餐旅,https://www.cnyes.com/twstock/7723,44.60,-0.40,-0.89%,鉅亨
7728,光焱科技,2025/03/06,上櫃,其他電子業,https://www.cnyes.com/twstock/7728,294.00,+16.00,+5.76%,鉅亨
7734,印能科技,2025/02/26,上櫃,半導體業,https://www.cnyes.com/twstock/7734,1320.00,+15.00,+1.15%,鉅亨
7743,金利食安,2025/05/20,上櫃,食品工業,https://www.cnyes.com/twstock/7743,26.15,-0.45,-1.69%,鉅亨
7747,昕奇雲端,2025/07/11,上櫃,數位雲端,https://www.cnyes.com/twstock/7747,135.00,0.00,+0.00%,鉅亨
8024,佑華,2006/09/25,上櫃,半導體業,https://www.cnyes.com/twstock/8024,13.40,-0.35,-2.55%,鉅亨
8027,鈦昇,2015/06/09,上櫃,電機機械,https://www.cnyes.com/twstock/8027,83.20,+0.30,+0.36%,鉅亨
8032,光菱,2003/10/02,上櫃,電子通路業,https://www.cnyes.com/twstock/8032,41.10,-0.50,-1.20%,鉅亨
8034,榮群,2004/05/06,上櫃,通信網路業,https://www.cnyes.com/twstock/8034,17.90,-0.20,-1.10%,鉅亨
8038,長園科,2013/11/21,上櫃,電子零組件業,https://www.cnyes.com/twstock/8038,37.60,+0.35,+0.94%,鉅亨
8040,九暘,2007/04/30,上櫃,半導體業,https://www.cnyes.com/twstock/8040,59.80,-0.20,-0.33%,鉅亨
8042,金山電,2004/03/22,上櫃,電子零組件業,https://www.cnyes.com/twstock/8042,29.65,-0.05,-0.17%,鉅亨
8043,蜜望實,2003/10/24,上櫃,電子零組件業,https://www.cnyes.com/twstock/8043,26.70,-0.15,-0.56%,鉅亨
