股票代號,股票名稱,上市日,市場別,產業別,鉅亨網網址,價格,漲跌,漲跌幅度(%),資料來源
6955,邦睿生技-創,2024/12/06,上市臺灣創新板,生技醫療業,https://www.cnyes.com/twstock/6955,187.00,-0.50,-0.27%,鉅亨
6969,成信實業*-創,2024/09/09,上市臺灣創新板,綠能環保,https://www.cnyes.com/twstock/6969,48.80,+0.50,+1.04%,鉅亨
6988,威力暘-創,2024/10/23,上市臺灣創新板,汽車工業,https://www.cnyes.com/twstock/6988,17.70,+0.20,+1.14%,鉅亨
7631,聚賢研發-創,2025/03/13,上市臺灣創新板,其他電子業,https://www.cnyes.com/twstock/7631,125.00,+7.50,+6.38%,鉅亨
7740,熙特爾-創,2025/06/16,上市臺灣創新板,綠能環保,https://www.cnyes.com/twstock/7740,224.00,-5.00,-2.18%,鉅亨
8162,微矽電子-創,2024/03/07,上市臺灣創新板,半導體業,https://www.cnyes.com/twstock/8162,36.30,0.00,+0.00%,鉅亨
8487,愛爾達-創,2024/03/26,上市臺灣創新板,數位雲端,https://www.cnyes.com/twstock/8487,80.30,+0.30,+0.38%,鉅亨
0050,元大台灣50,2003/06/30,上市,,https://www.cnyes.com/twstock/0050,50.90,-0.10,-0.20%,鉅亨
0051,元大中型100,2006/08/31,上市,,https://www.cnyes.com/twstock/0051,77.60,+0.10,+0.13%,鉅亨
0052,富邦科技,2006/09/12,上市,,https://www.cnyes.com/twstock/0052,200.15,-0.25,-0.12%,鉅亨
0053,元大電子,2007/07/16,上市,,https://www.cnyes.com/twstock/0053,109.15,+0.50,+0.46%,鉅亨
0055,元大MSCI金融,2007/07/16,上市,,https://www.cnyes.com/twstock/0055,29.47,-0.04,-0.14%,鉅亨
0056,元大高股息,2007/12/26,上市,,https://www.cnyes.com/twstock/0056,34.87,+0.02,+0.06%,鉅亨
0057,富邦摩台,2008/02/27,上市,,https://www.cnyes.com/twstock/0057,150.75,-0.15,-0.10%,鉅亨
0061,元大寶滬深,2009/08/17,上市,,https://www.cnyes.com/twstock/0061,18.85,-0.01,-0.05%,鉅亨
006203,元大MSCI台灣,2011/05/12,上市,,https://www.cnyes.com/twstock/006203,93.55,+0.15,+0.16%,鉅亨
006204,永豐臺灣加權,2011/09/28,上市,,https://www.cnyes.com/twstock/006204,119.95,+0.25,+0.21%,鉅亨
006205,富邦上証,2011/09/26,上市,,https://www.cnyes.com/twstock/006205,32.49,-0.05,-0.15%,鉅亨
006206,元大上證50,2012/05/11,上市,,https://www.cnyes.com/twstock/006206,30.92,-0.05,-0.16%,鉅亨
006207,復華滬深,2012/06/22,上市,,https://www.cnyes.com/twstock/006207,24.73,+0.01,+0.04%,鉅亨
006208,富邦台50,2012/07/17,上市,,https://www.cnyes.com/twstock/006208,118.90,-0.25,-0.21%,鉅亨
00625K,富邦上証+R,2016/08/08,上市,,https://www.cnyes.com/twstock/00625K,-,-,(-),CMoney
00631L,元大台灣50正2,2014/10/31,上市,,https://www.cnyes.com/twstock/00631L,238.20,-1.45,-0.61%,鉅亨
