股票代號,股票名稱,上市日,市場別,產業別,鉅亨網網址,價格,漲跌,漲跌幅度(%),資料來源
6977,聯純,2023/09/25,興櫃,綠能環保,https://www.cnyes.com/twstock/6977,94.70,-2.63,-2.70%,鉅亨
6979,勝釩,2024/05/27,興櫃,光電業,https://www.cnyes.com/twstock/6979,104.50,-3.02,-2.81%,鉅亨
6980,鐳洋科技,2023/08/02,興櫃,通信網路業,https://www.cnyes.com/twstock/6980,52.10,+0.31,+0.60%,鉅亨
6983,華洋精機,2023/11/09,興櫃,其他電子業,https://www.cnyes.com/twstock/6983,104.00,+0.50,+0.48%,鉅亨
6984,ACPAY,2023/10/20,興櫃,數位雲端,https://www.cnyes.com/twstock/6984,-,-,(-),CMoney
6986,和迅,2023/11/29,興櫃,生技醫療業,https://www.cnyes.com/twstock/6986,70.00,-0.22,-0.31%,鉅亨
6987,寶晶能源*,2024/08/26,興櫃,綠能環保,https://www.cnyes.com/twstock/6987,38.85,-0.77,-1.94%,鉅亨
6990,華鉬,2023/11/16,興櫃,綠能環保,https://www.cnyes.com/twstock/6990,-,-,(-),CMoney
6995,野獸國,2025/01/21,興櫃,其他業,https://www.cnyes.com/twstock/6995,87.90,+0.50,+0.57%,鉅亨
6999,瀚醫生技,2024/07/31,興櫃,生技醫療業,https://www.cnyes.com/twstock/6999,47.85,+3.53,+7.96%,鉅亨
7419,達勝,2019/09/25,興櫃,電子零組件業,https://www.cnyes.com/twstock/7419,11.35,+1.05,+10.19%,鉅亨
7427,華上生醫,2021/07/08,興櫃,生技醫療業,https://www.cnyes.com/twstock/7427,37.70,+1.61,+4.46%,鉅亨
7443,凡事康,2016/02/15,興櫃,其他業,https://www.cnyes.com/twstock/7443,-,-,(-),CMoney
7455,樺緯物聯,2025/01/10,興櫃,電腦及週邊設備業,https://www.cnyes.com/twstock/7455,76.60,+0.28,+0.37%,鉅亨
7507,環拓科技,2020/03/20,興櫃,綠能環保,https://www.cnyes.com/twstock/7507,45.90,+0.47,+1.03%,鉅亨
